Schuler2015, Table3. [X/H]
Elem      K20          K20-err       K21           K21-err        K100      K100-err
H                   -11           -11           -11            -11       -11       -11
He                  -11           -11           -11            -11       -11       -11
Li                  -11           -11           -11            -11       -11       -11
Be                  -11           -11           -11            -11       -11       -11
B                   -11           -11           -11            -11       -11       -11
C                  0.02          0.06         -0.02           0.05      0.11      0.08
N                   -11           -11           -11            -11       -11       -11
O                 -0.04          0.08         -0.05           0.07      0.19       0.1
F                   -11           -11           -11            -11       -11       -11
Ne                  -11           -11           -11            -11       -11       -11
Na                 0.03          0.03         -0.08           0.05      0.19      0.04
Mg                  0.1          0.04         -0.06           0.04      0.13      0.05
Al                 0.08          0.02           -11            -11      0.16      0.03
Si                 0.04          0.02         -0.05           0.02      0.13      0.04
P                   -11           -11           -11            -11       -11       -11
S                   -11           -11         -0.13           0.05      0.11      0.06
Cl                  -11           -11           -11            -11       -11       -11
Ar                  -11           -11           -11            -11       -11       -11
K                 -0.01          0.06          0.07           0.07      0.21      0.06
Ca                 0.08          0.04         -0.06           0.04       0.1      0.05
Sc                 0.05          0.05         -0.14           0.06     -0.01      0.07
Ti                 0.11          0.06         -0.08           0.09      0.08      0.09
V                  0.11          0.04          -0.1           0.05      0.07      0.05
Cr                 0.08          0.03         -0.12           0.03      0.09      0.04
Mn                 0.04          0.05         -0.25           0.04      0.06      0.05
Fe                 0.06          0.06         -0.08           0.07      0.06      0.08
Co                 0.09          0.03         -0.18           0.09      0.07      0.06
Ni                 0.06          0.02         -0.13           0.03       0.1      0.03
Cu                  -11           -11           -11            -11       -11       -11
Zn                 0.09          0.02         -0.23           0.05      0.18      0.05
Ga                  -11           -11           -11            -11       -11       -11
Ge                  -11           -11           -11            -11       -11       -11
As                  -11           -11           -11            -11       -11       -11
Se                  -11           -11           -11            -11       -11       -11
Br                  -11           -11           -11            -11       -11       -11
Kr                  -11           -11           -11            -11       -11       -11
Rb                  -11           -11           -11            -11       -11       -11
Sr                  -11           -11           -11            -11       -11       -11
Y                   -11           -11           -11            -11       -11       -11
Zr                  -11           -11           -11            -11       -11       -11
Nb                  -11           -11           -11            -11       -11       -11
Mo                  -11           -11           -11            -11       -11       -11
Ru                  -11           -11           -11            -11       -11       -11
Rh                  -11           -11           -11            -11       -11       -11
Pd                  -11           -11           -11            -11       -11       -11
Ag                  -11           -11           -11            -11       -11       -11
Cd                  -11           -11           -11            -11       -11       -11
In                  -11           -11           -11            -11       -11       -11
Sn                  -11           -11           -11            -11       -11       -11
Sb                  -11           -11           -11            -11       -11       -11
Te                  -11           -11           -11            -11       -11       -11
I                   -11           -11           -11            -11       -11       -11
Xe                  -11           -11           -11            -11       -11       -11
Cs                  -11           -11           -11            -11       -11       -11
Ba                  -11           -11           -11            -11       -11       -11
La                  -11           -11           -11            -11       -11       -11
Ce                  -11           -11           -11            -11       -11       -11
Pr                  -11           -11           -11            -11       -11       -11
Nd                  -11           -11           -11            -11       -11       -11
Sm                  -11           -11           -11            -11       -11       -11
Eu                  -11           -11           -11            -11       -11       -11
Gd                  -11           -11           -11            -11       -11       -11
Tb                  -11           -11           -11            -11       -11       -11
Dy                  -11           -11           -11            -11       -11       -11
Ho                  -11           -11           -11            -11       -11       -11
Er                  -11           -11           -11            -11       -11       -11
Tm                  -11           -11           -11            -11       -11       -11
Yb                  -11           -11           -11            -11       -11       -11
Lu                  -11           -11           -11            -11       -11       -11
Hf                  -11           -11           -11            -11       -11       -11
Ta                  -11           -11           -11            -11       -11       -11
W                   -11           -11           -11            -11       -11       -11
Re                  -11           -11           -11            -11       -11       -11
Os                  -11           -11           -11            -11       -11       -11
Ir                  -11           -11           -11            -11       -11       -11
Pt                  -11           -11           -11            -11       -11       -11
Au                  -11           -11           -11            -11       -11       -11
Hg                  -11           -11           -11            -11       -11       -11
Tl                  -11           -11           -11            -11       -11       -11
Pb                  -11           -11           -11            -11       -11       -11
Bi                  -11           -11           -11            -11       -11       -11
Th                  -11           -11           -11            -11       -11       -11
U                   -11           -11           -11            -11       -11       -11
