Liu2016, Table2. [X/H] for Kepler-10 derived with HET and CFHT data respectively
Elem      K10-HET-abu  K10-HET-err   K10-CFHT-abu  K10-CFHT-err
H                   -11           -11           -11            -11
He                  -11           -11           -11            -11
Li                  -11           -11           -11            -11
Be                  -11           -11           -11            -11
B                   -11           -11           -11            -11
C                -0.005         0.015        -0.016          0.011
N                   -11           -11           -11            -11
O                 0.058          0.01         0.038          0.017
F                   -11           -11           -11            -11
Ne                  -11           -11           -11            -11
Na               -0.135         0.007        -0.127          0.005
Mg               -0.045         0.013         0.002          0.006
Al               -0.011         0.005         0.043           0.01
Si               -0.081         0.006        -0.086          0.006
P                   -11           -11            11            -11
S                -0.034         0.022         -0.02          0.014
Cl                  -11           -11           -11            -11
Ar                  -11           -11           -11            -11
K                   -11           -11           -11            -11
Ca               -0.062         0.013        -0.074           0.01
Sc               -0.029         0.018        -0.062           0.02
Ti               -0.028         0.012        -0.031          0.014
V                -0.097         0.016        -0.078          0.018
Cr               -0.151         0.012        -0.151          0.011
Mn               -0.226         0.011        -0.224          0.015
Fe               -0.141         0.009        -0.143          0.015
Co               -0.097         0.013        -0.104          0.013
Ni               -0.161         0.007        -0.159           0.01
Cu               -0.093         0.006        -0.094          0.025
Zn               -0.048         0.006        -0.038          0.025
Ga                  -11           -11           -11            -11
Ge                  -11           -11           -11            -11
As                  -11           -11           -11            -11
Se                  -11           -11           -11            -11
Br                  -11           -11           -11            -11
Kr                  -11           -11           -11            -11
Rb                  -11           -11           -11            -11
Sr                  -11           -11           -11            -11
Y                   -11           -11           -11            -11
Zr                  -11           -11           -11            -11
Nb                  -11           -11           -11            -11
Mo                  -11           -11           -11            -11
Ru                  -11           -11           -11            -11
Rh                  -11           -11           -11            -11
Pd                  -11           -11           -11            -11
Ag                  -11           -11           -11            -11
Cd                  -11           -11           -11            -11
In                  -11           -11           -11            -11
Sn                  -11           -11           -11            -11
Sb                  -11           -11           -11            -11
Te                  -11           -11           -11            -11
I                   -11           -11           -11            -11
Xe                  -11           -11           -11            -11
Cs                  -11           -11           -11            -11
Ba                  -11           -11           -11            -11
La                  -11           -11           -11            -11
Ce                  -11           -11           -11            -11
Pr                  -11           -11           -11            -11
Nd                  -11           -11           -11            -11
Sm                  -11           -11           -11            -11
Eu                  -11           -11           -11            -11
Gd                  -11           -11           -11            -11
Tb                  -11           -11           -11            -11
Dy                  -11           -11           -11            -11
Ho                  -11           -11           -11            -11
Er                  -11           -11           -11            -11
Tm                  -11           -11           -11            -11
Yb                  -11           -11           -11            -11
Lu                  -11           -11           -11            -11
Hf                  -11           -11           -11            -11
Ta                  -11           -11           -11            -11
W                   -11           -11           -11            -11
Re                  -11           -11           -11            -11
Os                  -11           -11           -11            -11
Ir                  -11           -11           -11            -11
Pt                  -11           -11           -11            -11
Au                  -11           -11           -11            -11
Hg                  -11           -11           -11            -11
Tl                  -11           -11           -11            -11
Pb                  -11           -11           -11            -11
Bi                  -11           -11           -11            -11
Th                  -11           -11           -11            -11
U                   -11           -11           -11            -11
