Protosolar abundance in ppm outputed by solarabu_new7.pro
Z   abu/ppm   abuerrup/ppm  abuerrdn/ppm
 1  7.149068e+05  0.000000e+00  0.000000e+00
 2  2.711283e+05  8.974188e+03  8.974188e+03
 3  9.577402e-03  9.577402e-04  9.577402e-04
 4  1.461353e-04  9.800305e-06  9.800305e-06
 5  5.081670e-03  5.012345e-04  5.012345e-04
 6  2.514018e+03  3.131952e+02  3.131952e+02
 7  7.364341e+02  9.174462e+01  9.174462e+01
 8  6.093703e+03  7.591508e+02  7.591508e+02
 9  3.838408e-01  6.016052e-02  6.016052e-02
10  1.335703e+03  3.477797e+02  3.477797e+02
11  3.084476e+01  2.063473e+00  2.063473e+00
12  6.412697e+02  1.672966e+02  3.634788e+01
13  5.574049e+01  2.864790e+00  2.864790e+00
14  7.067462e+02  1.970496e+01  1.970496e+01
15  6.331913e+00  3.478568e-01  3.478568e-01
16  3.450913e+02  1.439587e+01  1.439587e+01
17  4.636252e+00  6.893716e-01  6.893716e-01
18  7.803403e+01  2.732411e+01  2.732411e+01
19  3.503043e+00  2.557428e-01  2.557428e-01
20  6.190390e+01  2.910397e+00  2.910397e+00
21  4.048004e-02  1.508574e-02  4.406922e-03
22  3.017272e+00  1.728881e-01  1.728881e-01
23  3.549897e-01  2.045554e-02  2.045554e-02
24  1.722656e+01  7.698087e-01  7.698087e-01
25  1.220835e+01  6.283439e-01  6.283439e-01
26  1.238893e+03  4.598929e+01  4.598929e+01
27  3.425396e+00  1.305539e-01  1.305539e-01
28  7.215306e+01  4.132120e+00  4.132120e+00
29  7.955566e-01  7.427082e-02  7.427082e-02
30  2.019158e+00  7.693525e-02  7.693525e-02
31  6.201812e-02  3.356002e-03  3.356002e-03
32  2.197173e-01  1.764009e-02  1.764009e-02
33  1.149288e-02  1.034359e-03  1.034359e-03
34  1.340836e-01  9.385854e-03  9.385854e-03
35  2.153264e-02  3.229896e-03  3.229896e-03
36  1.158837e-01  1.742239e-02  1.742239e-02
37  1.580041e-02  7.283175e-03  1.702480e-03
38  5.030711e-02  3.195491e-03  3.195491e-03
39  9.810542e-03  4.557846e-04  4.557846e-04
40  2.455555e-02  1.098856e-03  1.098856e-03
41  1.935972e-03  1.614773e-04  1.614773e-04
42  6.217325e-03  5.714244e-04  5.714244e-04
44  4.549258e-03  2.209289e-04  2.209289e-04
45  8.453455e-04  7.012203e-05  3.508659e-04
46  3.621864e-03  2.249487e-04  1.126950e-03
47  1.178760e-03  2.683526e-04  6.129183e-04
48  4.466432e-03  3.083436e-04  3.083436e-04
49  5.141754e-04  2.561635e-05  2.561635e-05
50  1.044562e-02  1.359215e-03  1.359215e-03
51  9.577402e-04  1.340836e-04  1.340836e-04
52  1.505964e-02  1.054175e-03  1.054175e-03
53  3.500705e-03  7.001411e-04  7.001411e-04
54  1.774313e-02  2.667567e-03  2.667567e-03
55  1.241760e-03  7.450559e-05  7.450559e-05
56  1.614553e-02  7.774999e-04  7.774999e-04
57  1.572874e-03  6.943244e-05  3.198863e-04
58  4.095384e-03  1.176407e-04  1.176407e-04
59  6.159095e-04  1.769612e-05  1.769612e-05
60  3.112315e-03  8.941365e-05  8.941365e-05
62  1.016728e-03  2.920633e-05  2.920633e-05
63  3.888033e-04  1.116840e-05  1.116840e-05
64  1.374129e-03  3.947946e-05  3.947946e-05
65  2.508158e-04  7.475022e-06  7.475022e-06
66  1.680423e-03  4.827720e-05  4.827720e-05
67  3.729353e-04  1.112859e-05  1.112859e-05
68  1.093891e-03  3.190481e-05  3.190481e-05
69  1.720618e-04  4.942543e-06  4.942543e-06
70  1.111944e-03  3.318575e-05  3.318575e-05
71  1.654174e-04  4.921540e-06  4.921540e-06
72  7.115016e-04  3.935761e-04  2.916129e-05
73  9.907657e-05  9.907658e-06  9.907658e-06
74  6.503185e-04  5.961532e-04  7.963747e-05
75  2.642042e-04  1.321021e-05  1.321021e-05
76  3.319023e-03  1.541472e-04  1.541472e-04
77  3.137230e-03  1.489683e-03  1.943258e-04
78  6.109721e-03  3.054861e-04  3.054861e-04
79  1.024586e-03  1.064957e-04  1.064957e-04
80  2.311787e-03  1.155893e-03  1.155893e-03
81  9.309857e-04  1.007700e-04  1.007700e-04
82  1.650877e-02  1.235099e-03  1.235099e-03
83  7.265616e-04  6.539054e-05  6.539054e-05
90  1.978144e-04  1.337244e-05  1.337244e-05
92  5.350135e-05  3.745095e-06  3.745095e-06
