#Bulk Earth compositon in ppm outputed by earthabu_new3.pro
Z  abu/ppm   errUP/ppm  errDN/ppm
 1  2.581323e+02  1.372038e+02  1.372037e+02
 2  3.080955e-03  2.218330e-03  2.218330e-03
 3  1.592803e+00  2.443966e-01  2.443966e-01
 4  4.100364e-02  3.261095e-03  3.261095e-03
 5  1.440986e-01  4.215751e-02  3.970710e-02
 6  2.647586e+03  2.217316e+03  2.216859e+03
 7  3.169647e+01  2.492748e+01  2.930761e+01
 8  3.076504e+05  7.366582e+03  7.366582e+03
 9  1.295443e+01  3.937630e+00  3.289695e+00
10  9.265277e-06  2.607918e-06  2.607918e-06
11  2.201020e+03  1.880661e+02  1.880661e+02
12  1.507734e+05  1.602354e+03  1.602238e+03
13  1.544516e+04  9.120926e+02  9.120926e+02
14  1.596575e+05  7.750110e+03  7.750111e+03
15  9.570309e+02  2.979853e+02  4.019673e+02
16  6.096134e+03  1.462836e+03  1.462836e+03
17  1.601279e+02  9.081612e+01  8.480436e+01
18  4.706033e-05  3.626060e-06  3.626060e-06
19  2.271062e+02  3.045135e+01  3.045135e+01
20  1.673446e+04  9.881460e+02  9.881460e+02
21  1.051005e+01  6.927620e-01  6.927620e-01
22  7.923900e+02  5.219825e+01  5.219825e+01
23  9.661641e+01  1.517544e+01  1.517544e+01
24  3.882997e+03  5.830505e+02  5.830507e+02
25  1.760060e+03  8.340297e+02  9.442561e+02
26  3.118499e+05  9.731522e+03  9.731522e+03
27  8.411958e+02  4.642387e+01  4.642387e+01
28  1.773578e+04  7.657347e+02  7.657347e+02
29  6.900685e+01  1.916593e+01  1.916593e+01
30  4.593647e+01  3.998827e+00  3.998827e+00
31  4.494732e+00  6.141862e-01  6.141862e-01
32  8.555923e+00  2.949723e+00  2.949723e+00
33  1.631714e+00  6.025037e-01  6.024775e-01
34  2.856750e+00  1.062683e+00  1.062683e+00
35  1.962209e-01  6.694596e-02  6.866744e-02
36  3.010415e-06  1.511140e-07  1.511140e-07
37  7.278342e-01  1.364520e-01  1.364520e-01
38  1.412593e+01  6.171261e-01  6.171261e-01
39  2.732442e+00  1.797992e-01  1.797992e-01
40  6.762826e+00  4.443746e-01  4.443746e-01
41  5.468175e-01  7.017644e-02  7.017644e-02
42  1.644124e+00  6.120898e-01  6.120898e-01
44  1.284203e+00  4.848160e-01  4.848160e-01
45  2.231774e-01  8.423982e-02  8.423982e-02
46  8.878697e-01  3.346684e-01  3.346684e-01
47  8.130103e-02  2.942623e-02  2.939374e-02
48  7.999539e-02  2.084833e-02  2.084833e-02
49  8.793166e-03  1.481751e-03  1.481751e-03
50  2.386686e-01  6.168286e-02  6.168286e-02
51  4.683737e-02  1.631511e-02  1.631511e-02
52  3.342227e-01  1.242712e-01  1.242316e-01
53  3.568106e-02  1.318622e-02  1.155613e-02
54  1.846804e-06  1.524976e-06  1.524976e-06
55  4.546372e-02  1.299101e-02  1.299101e-02
56  4.205616e+00  3.174573e-01  3.174573e-01
57  4.265426e-01  2.810253e-02  2.810253e-02
58  1.110950e+00  7.315107e-02  7.315107e-02
59  1.629258e-01  1.228868e-02  1.228868e-02
60  8.154560e-01  5.370394e-02  5.370394e-02
62  2.704333e-01  1.779174e-02  1.779174e-02
63  1.014423e-01  6.679967e-03  6.679967e-03
64  3.789438e-01  1.654323e-02  1.654323e-02
65  6.508741e-02  4.926915e-03  4.926915e-03
66  4.471489e-01  2.942717e-02  2.942717e-02
67  9.764190e-02  7.375840e-03  7.375840e-03
68  2.903354e-01  1.911976e-02  1.911976e-02
69  4.474585e-02  3.375181e-03  3.375181e-03
70  2.921201e-01  1.925023e-02  1.925023e-02
71  4.379177e-02  3.297571e-03  3.297571e-03
72  1.870487e-01  1.231984e-02  1.231984e-02
73  3.012485e-02  1.833139e-03  1.814410e-03
74  1.711353e-01  6.174438e-02  6.174302e-02
75  6.980414e-02  2.635133e-02  2.635133e-02
76  8.861191e-01  3.346677e-01  3.346677e-01
77  8.509437e-01  3.214015e-01  3.214015e-01
78  1.775345e+00  6.705413e-01  6.705413e-01
79  1.569886e-01  5.921508e-02  5.921508e-02
80  1.498492e-02  9.792132e-03  5.668453e-03
81  1.152702e-02  3.638712e-03  3.638712e-03
82  6.703544e-01  5.152716e-01  4.924363e-01
83  8.205817e-03  3.557506e-03  3.304370e-03
90  5.038841e-02  4.586176e-03  4.586176e-03
92  1.339847e-02  1.333293e-03  1.333293e-03
