#Protosolar abundance outputed by solarabu_new7.pro
Z   abu/dex   abuerrup/dex  abuerrdn/dex  abu/Nsi1e6  abuerrup/Nsi1e6  abuerrdn/Nsi1e6
 1  12.0000000   0.0000000   0.0000000  2.818382e+10  0.000000e+00  0.000000e+00
 2  10.9800005   0.0141421   0.0141421  2.691537e+09  8.908828e+07  8.908828e+07
 3   3.2874126   0.0413927   0.0413927  5.462769e+01  5.462769e+00  5.462769e+00
 4   1.3591452   0.0281901   0.0281901  6.443843e-01  4.321448e-02  4.321448e-02
 5   2.8212709   0.0408537   0.0408537  1.867546e+01  1.842068e+00  1.842068e+00
 6   8.4700003   0.0509902   0.0509902  8.317640e+06  1.036208e+06  1.036208e+06
 7   7.8699999   0.0509902   0.0509902  2.089295e+06  2.602834e+05  2.602834e+05
 8   8.7299995   0.0509902   0.0509902  1.513559e+07  1.885585e+06  1.885585e+06
 9   4.4546542   0.0632331   0.0632331  8.028865e+02  1.258388e+02  1.258388e+02
10   7.9699998   0.1004988   0.1004988  2.630266e+06  6.848476e+05  6.848476e+05
11   6.2768536   0.0281231   0.0281231  5.331548e+04  3.566733e+03  3.566733e+03
12   7.5705562   0.1006749   0.0253414  1.048470e+06  2.735284e+05  5.942844e+04
13   6.4643078   0.0217660   0.0217660  8.209327e+04  4.219195e+03  4.219195e+03
14   7.5500002   0.0119430   0.0119430  1.000000e+06  2.788124e+04  2.788124e+04
15   5.4597487   0.0232266   0.0232266  8.123601e+03  4.462868e+02  4.462868e+02
16   7.1810865   0.0177494   0.0177494  4.276481e+05  1.783982e+04  1.783982e+04
17   5.2657495   0.0602034   0.0602034  5.196961e+03  7.727444e+02  7.727444e+02
18   6.4400001   0.1303840   0.1303840  7.762469e+04  2.718077e+04  2.718077e+04
19   5.1015019   0.0306021   0.0306021  3.560425e+03  2.599320e+02  2.599320e+02
20   6.3380232   0.0199528   0.0199528  6.137945e+04  2.885739e+03  2.885739e+03
21   3.1036644   0.1375664   0.0500573  3.578197e+01  1.333490e+01  3.895458e+00
22   4.9487896   0.0241980   0.0241980  2.504893e+03  1.435291e+02  1.435291e+02
23   3.9923506   0.0243308   0.0243308  2.769177e+02  1.595680e+01  1.595680e+01
24   5.6694398   0.0189863   0.0189863  1.316557e+04  5.883338e+02  5.883338e+02
25   5.4959955   0.0217962   0.0217962  8.830699e+03  4.545016e+02  4.545016e+02
26   7.4952607   0.0158296   0.0158296  8.815772e+05  3.272528e+04  3.272528e+04
