|6.6.6
/home/haiwang/pyExoInt_v1.2_released/Mineral/Utilities/tmp_files/42301/mantlephys_1.tab             
           1
node #  
   2.1219957914593380E-314
   2.1219957914593380E-314
  1244536304
          27
node#          P(bar)         T(K)           rho,kg/m3      Gruneisen_T    Ks,bar         vp,km/s        vs,km/s        Wus,vo%        Pv,vo%         Ppv,vo%        CF,vo%         O,vo%          Wad,vo%        Ring,vo%       Pl,vo%         C2/c,vo%       Opx,vo%        Cpx,vo%        Gt,vo%         st,vo%         q,vo%          ca-pv,vo%      coe,vo%        ky,vo%         neph,vo%       seif,vo%      
  1.00000        1.00000        1700.03        3133.54       0.998081        824172.        6.16370        2.96095                 NaN            NaN            NaN            NaN   46.0871                 NaN            NaN   6.47090                 NaN   41.4426        5.99943                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  2.00000        7895.71        1722.60        3204.66        1.01460        920924.        7.24257        4.21762                 NaN            NaN            NaN            NaN   43.9200                 NaN            NaN            NaN            NaN   30.3201        25.7599                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  3.00000        15790.4        1737.64        3232.14       0.995021        972159.        7.35569        4.24514                 NaN            NaN            NaN            NaN   43.9800                 NaN            NaN            NaN            NaN   29.0923        26.9277                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  4.00000        23685.1        1750.72        3258.39       0.976706       0.102061E+007   7.45944        4.27089                 NaN            NaN            NaN            NaN   44.0279                 NaN            NaN            NaN            NaN   28.3883        27.5839                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  5.00000        31579.8        1762.67        3285.08       0.961117       0.107080E+007   7.56474        4.29790                 NaN            NaN            NaN            NaN   44.0871                 NaN            NaN            NaN            NaN   27.4482        27.8638       0.600925                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  6.00000        39474.6        1773.85        3318.97       0.958528       0.114189E+007   7.71644        4.34210                 NaN            NaN            NaN            NaN   44.2456                 NaN            NaN            NaN            NaN   22.4080        28.5983        4.74806                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  7.00000        47369.3        1784.44        3346.17       0.950121       0.119601E+007   7.82593        4.37344                 NaN            NaN            NaN            NaN   44.3196                 NaN            NaN            NaN            NaN   20.2033        28.8583        6.61888                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  8.00000        55264.0        1794.58        3370.49       0.939596       0.124316E+007   7.91746        4.39909                 NaN            NaN            NaN            NaN   44.3605                 NaN            NaN            NaN            NaN   19.1832        28.8554        7.60081                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  9.00000        63158.7        1804.35        3393.57       0.928149       0.128736E+007   8.00034        4.42184                 NaN            NaN            NaN            NaN   44.3904                 NaN            NaN            NaN            NaN   18.8996        28.4058        8.30424                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10.0000        71053.4        1813.79        3415.70       0.916477       0.132995E+007   8.07797        4.44273                 NaN            NaN            NaN            NaN   44.4105                 NaN            NaN            NaN            NaN   18.9127        27.8308        8.84603                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11.0000        78948.1        1822.96        3437.05       0.905181       0.137136E+007   8.15175        4.46248                 NaN            NaN            NaN            NaN   44.4278                 NaN            NaN            NaN            NaN   18.9633        27.3490        9.25992                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  12.0000        86842.8        1831.89        3458.13       0.894111       0.141263E+007   8.22367        4.48156                 NaN            NaN            NaN            NaN   44.4439                 NaN            NaN            NaN            NaN   19.1675        26.6290        9.75957                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  13.0000        94737.5        1840.61        3479.18       0.884046       0.145415E+007   8.29510        4.50107                 NaN            NaN            NaN            NaN   44.4626                 NaN            NaN            NaN            NaN   19.1810        25.9535        10.4029                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  14.0000        102632.        1849.13        3499.88       0.874906       0.149559E+007   8.36497        4.51995                 NaN            NaN            NaN            NaN   44.4833                 NaN            NaN            NaN            NaN   19.0181        25.3750        11.1237                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  15.0000        110527.        1857.49        3521.61       0.867891       0.153892E+007   8.43764        4.54101                 NaN            NaN            NaN            NaN   44.5180                 NaN            NaN            NaN            NaN   18.3270        24.7360        12.4190                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  16.0000        118422.        1865.69        3549.08       0.945123       0.159796E+007   8.57739        4.62713                 NaN            NaN            NaN            NaN   44.6319                 NaN            NaN            NaN   16.3859                 NaN   24.8734        14.1088                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
  17.0000        126316.        1873.74        3573.52       0.936605       0.164427E+007   8.64983        4.64813                 NaN            NaN            NaN            NaN   44.7014                 NaN            NaN            NaN   14.9327                 NaN   23.2873        17.0786                 NaN            NaN            NaN            NaN            NaN            NaN            NaN
