#Asplund et al. 2021 A&A			
atomid	elemid	abu/dex	err/dex
1	H	12.00	0.00
2	He	10.914	0.013
3	Li	0.96	0.06
4	Be	1.38	0.09
5	B	2.70	0.20
6	C	8.46	0.04
7	N	7.83	0.07
8	O	8.69	0.04
9	F	4.40	0.25
10	Ne	8.06	0.05
11	Na	6.22	0.03
12	Mg	7.55	0.03
13	Al	6.43	0.03
14	Si	7.51	0.03
15	P	5.41	0.03
16	S	7.12	0.03
17	Cl	5.31	0.20
18	Ar	6.38	0.10
19	K	5.07	0.03
20	Ca	6.30	0.03
21	Sc	3.14	0.04
22	Ti	4.97	0.05
23	V	3.90	0.08
24	Cr	5.62	0.04
25	Mn	5.42	0.06
26	Fe	7.46	0.04
27	Co	4.94	0.05
28	Ni	6.20	0.04
29	Cu	4.18	0.05
30	Zn	4.56	0.05
31	Ga	3.02	0.05
32	Ge	3.62	0.10
33	As	-11	-11
34	Se	-11	-11
35	Br	-11	-11
36	Kr	3.12	0.10
37	Rb	2.32	0.08
38	Sr	2.83	0.06
39	Y	2.21	0.05
40	Zr	2.59	0.04
41	Nb	1.47	0.06
42	Mo	1.88	0.09
44	Ru	1.75	0.08
45	Rh	0.78	0.11
46	Pd	1.57	0.10
47	Ag	0.96	0.10
48	Cd	-11	-11
49	In	0.80	0.20
50	Sn	2.02	0.10
51	Sb	-11	-11
52	Te	-11	-11
53	I	-11	-11
54	Xe	2.22	0.05
55	Cs	-11	-11
56	Ba	2.27	0.05
57	La	1.11	0.04
58	Ce	1.58	0.04
59	Pr	0.75	0.05
60	Nd	1.42	0.04
62	Sm	0.95	0.04
63	Eu	0.52	0.04
64	Gd	1.08	0.04
65	Tb	0.31	0.10
66	Dy	1.10	0.04
67	Ho	0.48	0.11
68	Er	0.93	0.05
69	Tm	0.11	0.04
70	Yb	0.85	0.11
71	Lu	0.10	0.09
72	Hf	0.85	0.05
73	Ta	-11	-11
74	W	0.79	0.11
75	Re	-11	-11
76	Os	1.35	0.12
77	Ir	-11	-11
78	Pt	-11	-11
79	Au	0.91	0.12
80	Hg	-11	-11
81	Tl	0.92	0.17
82	Pb	1.95	0.08
83	Bi	-11	-11
90	Th	0.03	0.10
92	U	-11	-11
