atomid      elemid      CIppm       CINtoSi     CIerr%      CIdex       Cierrdex    PHONtoSi    PHOdex      PHOerrdex   recommabu  recommerr    note
1           H           19700       5.13E+06    10.0        8.24        0.04        3.02E+10    12.00       0.00001     12.00       0.00001     s
2           He          0.00917     0.601       999.00      1.31        0.00        2.54E+09    10.925      0.02        10.93       0.02        s
3           Li          1.47        55.6        13          3.28        0.05        3.80E-01    1.10        0.10        3.28        0.05        m
4           Be          0.021       0.612       7           1.32        0.03        7.24E-01    1.38        0.09        1.32        0.03        m
5           B           0.775       18.8        10          2.81        0.04        1.51E+01    2.70        0.17        2.81        0.04        m
6           C           34800       7.60E+05    10          7.41        0.04        7.41E+06    8.39        0.04        8.39        0.04        s
7           N           2950        55300       15          6.28        0.06        2.19E+06    7.86        0.12        7.86        0.12        s
8           O           459000      7.63E+06    10          8.42        0.04        1.62E+07    8.73        0.07        8.73        0.07        s
9           F           58.2        804         15          4.44        0.06        1.10E+03    4.56        0.30        4.44        0.06        m
10          Ne          0.00018     0.00235     999.00      -1.10       0.00        3.39E+06    8.05        0.10        8.05        0.10        s
11          Na          4990        57000       5           6.29        0.02        6.03E+04    6.30        0.03        6.29        0.04        a
12          Mg          95800       1.03E+06    3           7.55        0.01        1.05E+06    7.54        0.06        7.54        0.06        a
13          Al          8500        82700       3           6.45        0.01        8.91E+04    6.47        0.07        6.46        0.07        a
14          Si          107000      1.00E+06    3           7.53        0.01        1.00E+06    7.52        0.06        7.53        0.01        m
15          P           967         8190        10          5.45        0.04        8.71E+03    5.46        0.04        5.45        0.05        a
16          S           53500       4.38E+05    5           7.17        0.02        4.17E+05    7.14        0.01        7.16        0.02        a
17          Cl          698         5170        15          5.25        0.06        9.55E+03    5.50        0.30        5.25        0.06        m
18          Ar          0.00133     0.00962     999.00      -0.48       0.00        9.55E+04    6.50        0.10        6.50        0.10        s
19          K           544         3650        5           5.10        0.02        3.98E+03    5.12        0.03        5.11        0.04        a
