      elem    Df             Df_errup       Df_errdn      Df_3sig_lmt_up  Df_3sig_lmt_dn  Df_5sig_lmt_up  Df_5sig_lmt_dn
      1H      0.0005650      0.0001720      0.0001343      0.0012538      0.0002503      0.0021333      0.0001455
      2He      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000
      3Li      0.4830376      0.0172192      0.0145993      0.5365586      0.4405501      0.5754946      0.4143222
      4Be      1.0000000      0.0000000      0.0000000      1.0000000      1.0000000      1.0000000      1.0000000
      5B      0.2079331      0.0110489      0.0098291      0.2428722      0.1798176      0.2693689      0.1632193
      6C      0.0037695      0.0008092      0.0006757      0.0067558      0.0020841      0.0099678      0.0014039
      7N      0.0001338      0.0000505      0.0000374      0.0003494      0.0000501      0.0006626      0.0000260
      8O      0.1814774      0.0104224      0.0093449      0.2145746      0.1548614      0.2399287      0.1393232
      9F      0.0951260      0.0075969      0.0068835      0.1197853      0.0759338      0.1396819      0.0653420
     10Ne      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000      0.0000000
     11Na      0.2532209      0.0119301      0.0104127      0.2907240      0.2232497      0.3187634      0.2052667
     12Mg      0.8599346      0.0336696      0.0290651      0.9649499      0.7756532      1.0000000      0.7241064
     13Al      1.0000000      0.0000000      0.0000000      1.0000000      1.0000000      1.0000000      1.0000000
     14Si      0.7999991      0.0303268      0.0261817      0.8944720      0.7239965      0.9635737      0.6773831
     15P      0.6326933      0.0224995      0.0191993      0.7026205      0.5768254      0.7534814      0.5423486
     16S      0.0658098      0.0061715      0.0055727      0.0861148      0.0504675      0.1030233      0.0422823
     17Cl      0.2436398      0.0117646      0.0103135      0.2806655      0.2139906      0.3084249      0.1962572
     18Ar      0.0000039      0.0000022      0.0000015      0.0000152      0.0000010      0.0000376      0.0000004
     19K      0.3030757      0.0127225      0.0108758      0.3428678      0.2716052      0.3722577      0.2524619
     20Ca      1.0000000      0.0000000      0.0000000      1.0000000      1.0000000      1.0000000      1.0000000
     21Sc      1.0000000      0.0000000      0.0000000      1.0000000      1.0000000      1.0000000      1.0000000
     22Ti      1.0000000      0.0000000      0.0000000      1.0000000      1.0000000      1.0000000      1.0000000
     23V      1.0000000      0.0000000      0.0000000      1.0000000      1.0000000      1.0000000      1.0000000
     24Cr      0.7690184      0.0287757      0.0247267      0.8586159      0.6971980      0.9240746      0.6530840
