Elem   abu_[X/H]      err_abu_[X/H]    errdn_abu_[X/H]
H            NaN            NaN            NaN
He            NaN            NaN            NaN
Li            NaN            NaN            NaN
Be            NaN            NaN            NaN
B            NaN            NaN            NaN
C      0.2562069      0.0167126      0.0167126
N            NaN            NaN            NaN
O      0.1861982      0.0132140      0.0132140
F            NaN            NaN            NaN
Ne            NaN            NaN            NaN
Na      0.3322894      0.0096352      0.0096352
Mg      0.2535905      0.0200593      0.0200593
Al      0.2835425      0.0119885      0.0119885
Si      0.2598000      0.0080498      0.0080498
P            NaN            NaN            NaN
S            NaN            NaN            NaN
Cl            NaN            NaN            NaN
Ar            NaN            NaN            NaN
K            NaN            NaN            NaN
Ca      0.2175000      0.0094868      0.0094868
Sc      0.2626077      0.0110509      0.0110509
Ti      0.2561000      0.0104355      0.0104355
V      0.2599376      0.0160951      0.0160951
Cr      0.2496000      0.0104355      0.0104355
Mn      0.2710000      0.0190000      0.0190000
Fe      0.2344295      0.0064131      0.0064131
Co      0.2450000      0.0620000      0.0870000
Ni      0.2845339      0.0081336      0.0081336
Cu      0.2939717      0.0172387      0.0172387
Zn      0.2789408      0.0203602      0.0203602
Ga            NaN            NaN            NaN
Ge            NaN            NaN            NaN
As            NaN            NaN            NaN
Se            NaN            NaN            NaN
Br            NaN            NaN            NaN
Kr            NaN            NaN            NaN
Rb            NaN            NaN            NaN
Sr            NaN            NaN            NaN
Y      0.2355000      0.0615000      0.0455000
Zr      0.3019952      0.0397221      0.0397221
Nb            NaN            NaN            NaN
Mo            NaN            NaN            NaN
Ru            NaN            NaN            NaN
Rh            NaN            NaN            NaN
Pd            NaN            NaN            NaN
Ag            NaN            NaN            NaN
Cd            NaN            NaN            NaN
In            NaN            NaN            NaN
Sn            NaN            NaN            NaN
Sb            NaN            NaN            NaN
Te            NaN            NaN            NaN
I            NaN            NaN            NaN
Xe            NaN            NaN            NaN
Cs            NaN            NaN            NaN
Ba      0.1820000      0.0176777      0.0176777
La            NaN            NaN            NaN
Ce      0.1720000      0.0550000      0.0550000
Pr            NaN            NaN            NaN
Nd            NaN            NaN            NaN
Sm            NaN            NaN            NaN
Eu      0.1128462      0.0332820      0.0332820
Gd            NaN            NaN            NaN
Tb            NaN            NaN            NaN
Dy            NaN            NaN            NaN
Ho            NaN            NaN            NaN
Er            NaN            NaN            NaN
Tm            NaN            NaN            NaN
Yb            NaN            NaN            NaN
Lu            NaN            NaN            NaN
Hf            NaN            NaN            NaN
Ta            NaN            NaN            NaN
W            NaN            NaN            NaN
Re            NaN            NaN            NaN
Os            NaN            NaN            NaN
Ir            NaN            NaN            NaN
Pt            NaN            NaN            NaN
Au            NaN            NaN            NaN
Hg            NaN            NaN            NaN
Tl            NaN            NaN            NaN
Pb            NaN            NaN            NaN
Bi            NaN            NaN            NaN
Th            NaN            NaN            NaN
U            NaN            NaN            NaN
