param   median  errup   errdn
Na2O      0.0060793      0.0009191      0.0008398
CaO      0.0368098      0.0048273      0.0046746
MgO      0.4484492      0.1035672      0.0698358
Al2O3      0.0536192      0.0073443      0.0069516
SiO2      0.4393707      0.0639052      0.0995764
FeO      0.0102646      0.0123198      0.0076977
NiO      0.0008288      0.0007405      0.0003322
SO3            NaN            NaN            NaN
CO2            NaN            NaN            NaN
C      0.0045566      0.0013034      0.0011132
Metals      0.0000220      0.0000297      0.0000172
ExtraO            NaN            NaN            NaN
