|6.6.6
/home/haiwang/pyExoInt_v1.2_released/Mineral/Utilities/tmp_files/56389/mantlephys_1.tab             
           1
node #  
   2.1219957914593380E-314
   2.1219957914593380E-314
  2004159984
          26
node#          P(bar)         T(K)           rho,kg/m3      Gruneisen_T    Ks,bar         vp,km/s        vs,km/s        Wus,vo%        Pv,vo%         Ppv,vo%        CF,vo%         O,vo%          Wad,vo%        Ring,vo%       Pl,vo%         Cpx,vo%        Gt,vo%         st,vo%         q,vo%          ca-pv,vo%      coe,vo%        ky,vo%         Sp,vo%         neph,vo%       seif,vo%      
  1.00000        1.00000        1700.03        3025.05       0.999916        958037.        6.76505        3.25144                 NaN            NaN            NaN            NaN   76.1130                 NaN            NaN   15.3650        8.07995                 NaN            NaN            NaN            NaN            NaN            NaN  0.195665       0.246360                 NaN
  2.00000        7895.71        1722.60        3136.34        1.05923       0.105110E+007   7.72718        4.43247                 NaN            NaN            NaN            NaN   68.4196                 NaN            NaN            NaN   28.5490                 NaN            NaN            NaN            NaN            NaN            NaN   3.03141                 NaN            NaN
  3.00000        15790.4        1737.64        3159.59        1.04379       0.108934E+007   7.80642        4.45503                 NaN            NaN            NaN            NaN   68.2748                 NaN            NaN            NaN   28.5421                 NaN            NaN            NaN            NaN            NaN            NaN   3.18308                 NaN            NaN
  4.00000        23685.1        1750.72        3182.36        1.02912       0.112736E+007   7.88364        4.47714                 NaN            NaN            NaN            NaN   68.1551                 NaN            NaN            NaN   28.5348                 NaN            NaN            NaN            NaN            NaN            NaN   3.31010                 NaN            NaN
  5.00000        31579.8        1762.67        3204.58        1.01522       0.116513E+007   7.95877        4.49866                 NaN            NaN            NaN            NaN   68.0434                 NaN            NaN            NaN   28.5291                 NaN            NaN            NaN            NaN            NaN            NaN   3.42745                 NaN            NaN
  6.00000        39474.6        1773.85        3236.63        1.00572       0.122080E+007   8.06901        4.53243                 NaN            NaN            NaN            NaN   69.4967                 NaN            NaN            NaN   23.5253        4.65240                 NaN            NaN            NaN            NaN            NaN   2.32566                 NaN            NaN
  7.00000        47369.3        1784.44        3266.69       0.997153       0.127390E+007   8.17506        4.56905                 NaN            NaN            NaN            NaN   70.7862                 NaN            NaN            NaN   18.8924        8.98687                 NaN            NaN            NaN            NaN            NaN   1.33458                 NaN            NaN
  8.00000        55264.0        1794.58        3293.78       0.988754       0.132227E+007   8.27208        4.60565                 NaN            NaN            NaN            NaN   71.7744                 NaN            NaN            NaN   15.2164        12.4468                 NaN            NaN            NaN            NaN            NaN  0.562343                 NaN            NaN
  9.00000        63158.7        1804.35        3318.57       0.980420       0.136689E+007   8.36039        4.64007                 NaN            NaN            NaN            NaN   72.4870                 NaN            NaN            NaN   12.3603        15.1527                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  10.0000        71053.4        1813.79        3339.36       0.971044       0.140479E+007   8.43006        4.66355                 NaN            NaN            NaN            NaN   72.5061                 NaN            NaN            NaN   11.5022        15.9917                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  11.0000        78948.1        1822.96        3359.29       0.961670       0.144121E+007   8.49520        4.68504                 NaN            NaN            NaN            NaN   72.5140                 NaN            NaN            NaN   10.8896        16.5963                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  12.0000        86842.8        1831.89        3378.43       0.952293       0.147636E+007   8.55584        4.70395                 NaN            NaN            NaN            NaN   72.5131                 NaN            NaN            NaN   10.5137        16.9731                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  13.0000        94737.5        1840.61        3397.17       0.943208       0.151101E+007   8.61457        4.72220                 NaN            NaN            NaN            NaN   72.5111                 NaN            NaN            NaN   10.1749        17.3140                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  14.0000        102632.        1849.13        3415.58       0.934429       0.154536E+007   8.67179        4.73989                 NaN            NaN            NaN            NaN   72.5085                 NaN            NaN            NaN   9.85104        17.6405                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  15.0000        110527.        1857.49        3433.73       0.925955       0.157951E+007   8.72768        4.75704                 NaN            NaN            NaN            NaN   72.5077                 NaN            NaN            NaN   9.51007        17.9823                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  16.0000        118422.        1865.69        3451.96       0.918059       0.161376E+007   8.78280        4.77404       0.663206E-001            NaN            NaN            NaN   72.2646                 NaN            NaN            NaN   9.28594        18.3832                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  17.0000        126316.        1873.74        3471.52       0.911758       0.164909E+007   8.83794        4.79106       0.486732                 NaN            NaN            NaN   70.7218                 NaN            NaN            NaN   9.86482        18.9266                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  18.0000        134211.        1881.67        3491.75       0.906320       0.168557E+007   8.89453        4.80935        1.00180                 NaN            NaN            NaN   68.8432                 NaN            NaN            NaN   10.4071        19.7479                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  19.0000        142106.        1889.47        3513.06       0.901941       0.172385E+007   8.95384        4.82972        1.64639                 NaN            NaN            NaN   66.5067                 NaN            NaN            NaN   10.8529        20.9940                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  20.0000        150000.        1897.15        3649.86        1.05431       0.200752E+007   9.55965        5.22379        1.88257                 NaN            NaN            NaN            NaN   64.7658                 NaN            NaN   10.3968        22.9549                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  21.0000        157895.        1904.73        3667.45        1.04829       0.204590E+007   9.61524        5.24410        1.92146                 NaN            NaN            NaN            NaN   64.6921                 NaN            NaN   8.91475        24.4717                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  22.0000        165790.        1912.22        3685.48        1.04211       0.208413E+007   9.66942        5.26412        2.08851                 NaN            NaN            NaN            NaN   64.1708                 NaN            NaN   7.29708        26.4436                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  23.0000        173685.        1919.60        3704.75        1.03579       0.212303E+007   9.72362        5.28511        2.44083                 NaN            NaN            NaN            NaN   63.0121                 NaN            NaN   5.25198        29.2951                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  24.0000        181579.        1926.90        3726.21        1.02902       0.216284E+007   9.77743        5.30711        3.12808                 NaN            NaN            NaN            NaN   60.6966                 NaN            NaN   2.57262        33.6027                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  25.0000        189474.        1934.12        3748.62        1.02098       0.220088E+007   9.82446        5.32505        4.27346                 NaN            NaN            NaN            NaN   56.7585                 NaN            NaN            NaN   38.9680                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  26.0000        197369.        1941.25        3765.38        1.01137       0.223073E+007   9.85395        5.32849        5.48300                 NaN            NaN            NaN            NaN   52.4801                 NaN            NaN            NaN   42.0369                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
  27.0000        205263.        1948.32        3784.36        1.00629       0.226333E+007   9.88818        5.33632        6.74367                 NaN            NaN            NaN            NaN   48.0615                 NaN            NaN            NaN   44.7493                 NaN            NaN  0.445497                 NaN            NaN            NaN            NaN            NaN
  28.0000        213158.        1955.31        3844.16       0.960537       0.236334E+007   10.0573        5.45469        7.18041                 NaN            NaN            NaN            NaN            NaN   46.3059                 NaN            NaN   45.0076                 NaN            NaN   1.50605                 NaN            NaN            NaN            NaN            NaN
  29.0000        221053.        1962.23        3861.62       0.964132       0.240222E+007   10.1108        5.47866        6.92034                 NaN            NaN            NaN            NaN            NaN   47.3010                 NaN            NaN   43.3205                 NaN            NaN   2.45822                 NaN            NaN            NaN            NaN            NaN
  30.0000        228948.        1969.09        3877.86       0.965902       0.243865E+007   10.1585        5.49836        6.80411                 NaN            NaN            NaN            NaN            NaN   47.7722                 NaN            NaN   42.2258                 NaN            NaN   3.19784                 NaN            NaN            NaN            NaN            NaN
  31.0000        236842.        1975.88        4077.76        1.24677       0.268127E+007   10.5449        5.83785        21.3939        40.5603                 NaN            NaN            NaN            NaN            NaN            NaN            NaN   33.6689                 NaN            NaN   4.37685                 NaN            NaN            NaN            NaN            NaN
  32.0000        244737.        1982.61        4115.61        1.28108       0.275432E+007   10.6628        5.92279        21.5181        45.7333                 NaN            NaN            NaN            NaN            NaN            NaN            NaN   27.8002                 NaN            NaN   4.94846                 NaN            NaN            NaN            NaN            NaN
  33.0000        252632.        1989.29        4142.12        1.29895       0.280925E+007   10.7453        5.97748        21.5819        48.7162                 NaN            NaN            NaN            NaN            NaN            NaN            NaN   24.4274                 NaN            NaN   5.27448                 NaN            NaN            NaN            NaN            NaN
  34.0000        260526.        1995.92        4164.69        1.31148       0.285806E+007   10.8152        6.02142        21.6259        50.9356                 NaN            NaN            NaN            NaN            NaN            NaN            NaN   21.8794                 NaN            NaN   5.55910                 NaN            NaN            NaN            NaN            NaN
  35.0000        268421.        2002.49        4206.41        1.34142       0.293404E+007   10.9266        6.10154        21.1672        56.2196                 NaN   1.93401                 NaN            NaN            NaN            NaN            NaN   14.5468                 NaN            NaN   6.13246                 NaN            NaN            NaN            NaN            NaN
  36.0000        276316.        2009.00        4262.52        1.39343       0.303917E+007   11.0879        6.22346        20.5443        64.3269                 NaN   4.65534                 NaN            NaN            NaN            NaN            NaN   3.41746                 NaN            NaN   7.05591                 NaN            NaN            NaN            NaN            NaN
  37.0000        284211.        2015.47        4287.23        1.40830       0.309357E+007   11.1644        6.27414        20.4470        67.0538                 NaN   5.14830                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   7.35088                 NaN            NaN            NaN            NaN            NaN
  38.0000        292105.        2021.90        4298.32        1.40463       0.312329E+007   11.1972        6.28777        20.4327        67.0689                 NaN   5.14705                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   7.35132                 NaN            NaN            NaN            NaN            NaN
  39.0000        300000.        2028.27        4309.32        1.40103       0.315294E+007   11.2297        6.30123        20.4186        67.0838                 NaN   5.14583                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   7.35173                 NaN            NaN            NaN            NaN            NaN
  40.0000        320085.        2044.30        4336.97        1.39214       0.322810E+007   11.3110        6.33479        20.3841        67.1204                 NaN   5.14282                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   7.35269                 NaN            NaN            NaN            NaN            NaN
  41.0000        340171.        2060.07        4364.13        1.38364       0.330286E+007   11.3903        6.36739        20.3511        67.1554                 NaN   5.13997                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN   7.35352                 NaN            NaN            NaN            NaN            NaN
