|6.6.6
/home/haiwang/pyExoInt_v1.2_released/Mineral/Utilities/tmp_files/98434/mantlephys_1.tab             
           1
node #  
   2.1219957914593380E-314
   2.1219957914593380E-314
 -1200071184
          26
node#          P(bar)         T(K)           rho,kg/m3      Gruneisen_T    Ks,bar         vp,km/s        vs,km/s        Wus,vo%        Pv,vo%         Ppv,vo%        CF,vo%         O,vo%          Wad,vo%        Ring,vo%       Pl,vo%         Cpx,vo%        Gt,vo%         st,vo%         q,vo%          ca-pv,vo%      coe,vo%        ky,vo%         Sp,vo%         neph,vo%       seif,vo%      
  1.00000        1.00000        1700.03        3052.96        1.02929        977095.        6.80453        3.27454                 NaN            NaN            NaN            NaN   76.0748                 NaN            NaN   9.63802        11.9565                 NaN            NaN            NaN            NaN            NaN            NaN   1.47123       0.859479                 NaN
  2.00000        7895.71        1722.60        3137.06        1.06199       0.105857E+007   7.74163        4.43188                 NaN            NaN            NaN            NaN   71.9098                 NaN            NaN            NaN   24.7386                 NaN            NaN            NaN            NaN            NaN            NaN   3.35162                 NaN            NaN
  3.00000        15790.4        1737.64        3160.14        1.04636       0.109637E+007   7.81960        4.45414                 NaN            NaN            NaN            NaN   71.7898                 NaN            NaN            NaN   24.7316                 NaN            NaN            NaN            NaN            NaN            NaN   3.47856                 NaN            NaN
  4.00000        23685.1        1750.72        3182.76        1.03155       0.113408E+007   7.89595        4.47611                 NaN            NaN            NaN            NaN   71.6695                 NaN            NaN            NaN   24.7268                 NaN            NaN            NaN            NaN            NaN            NaN   3.60377                 NaN            NaN
  5.00000        31579.8        1762.67        3204.85        1.01749       0.117148E+007   7.97010        4.49741                 NaN            NaN            NaN            NaN   71.5700                 NaN            NaN            NaN   24.7219                 NaN            NaN            NaN            NaN            NaN            NaN   3.70808                 NaN            NaN
  6.00000        39474.6        1773.85        3226.41        1.00415       0.120857E+007   8.04209        4.51802                 NaN            NaN            NaN            NaN   71.4821                 NaN            NaN            NaN   24.7176                 NaN            NaN            NaN            NaN            NaN            NaN   3.80032                 NaN            NaN
  7.00000        47369.3        1784.44        3255.32       0.994760       0.125946E+007   8.14255        4.55069                 NaN            NaN            NaN            NaN   72.5654                 NaN            NaN            NaN   20.7705        3.67644                 NaN            NaN            NaN            NaN            NaN   2.98772                 NaN            NaN
  8.00000        55264.0        1794.58        3282.27       0.986026       0.130763E+007   8.23880        4.58575                 NaN            NaN            NaN            NaN   73.4961                 NaN            NaN            NaN   17.2577        6.96899                 NaN            NaN            NaN            NaN            NaN   2.27716                 NaN            NaN
  9.00000        63158.7        1804.35        3308.45       0.978192       0.135494E+007   8.33475        4.62445                 NaN            NaN            NaN            NaN   74.4415                 NaN            NaN            NaN   13.6521        10.3660                 NaN            NaN            NaN            NaN            NaN   1.54043                 NaN            NaN
  10.0000        71053.4        1813.79        3333.03       0.970426       0.139947E+007   8.42367        4.66130                 NaN            NaN            NaN            NaN   75.2666                 NaN            NaN            NaN   10.5328        13.3159                 NaN            NaN            NaN            NaN            NaN  0.884699                 NaN            NaN
  11.0000        78948.1        1822.96        3355.51       0.962189       0.144013E+007   8.50149        4.69230                 NaN            NaN            NaN            NaN   75.8252                 NaN            NaN            NaN   8.35248        15.3882                 NaN            NaN            NaN            NaN            NaN  0.434089                 NaN            NaN
  12.0000        86842.8        1831.89        3378.45       0.955144       0.147964E+007   8.57369        4.72056       0.340343                 NaN            NaN            NaN   75.0948                 NaN            NaN            NaN   7.29717        17.2677                 NaN            NaN            NaN            NaN            NaN            NaN            NaN            NaN
