sources: atomic weighted is from the latest results from Wieser et al. 2013 (Table 2); the precision is round to 0.001, and average value is used for interval value
condensation temperature is from Lodders 2003 (Table 8); geochemical classification (Palme&Oneil2014, McDonough 2016; Cl, Br, I are changed to siderophile based on Carlson 2014): 1- lithophile;  2- siderophile/chacophile ; 3-atmophile 
atom  elem            atwt          50%Tc             GeoClass
1     H               1.008         182               3 
2     He              4.003         3                 3
3     Li              6.967         1142              1 
4     Be              9.012         1452              1
5     B               10.813        908               1
6     C               12.011        40                3
7     N               14.007        123               3
8     O               15.999        180               3
9     F               18.998        734               1
10    Ne              20.180        9.1               3
11    Na              22.990        958               1 
12    Mg              24.305        1336              1
13    Al              26.982        1653              1
14    Si              28.085        1310              1
15    P               30.974        1229              2
16    S               32.067        664               2
17    Cl              35.451        948               2
18    Ar              39.948        47                3
19    K               39.098        1006              1
20    Ca              40.078        1517              1
21    Sc              44.956        1659              1
22    Ti              47.867        1582              1
23    V               50.942        1429              1
24    Cr              51.996        1296              1
25    Mn              54.938        1158              1
26    Fe              55.845        1334              2
27    Co              58.933        1352              2
28    Ni              58.693        1353              2
29    Cu              63.546        1037              2
30    Zn              65.38         726               1
31    Ga              69.723        968               2
32    Ge              72.630        883               2
33    As              74.922        1065              2
34    Se              78.96         697               2
35    Br              79.904        546               2
36    Kr              83.798        52                3
37    Rb              85.468        800               1
38    Sr              87.62         1464              1
39    Y               88.906        1659              1
40    Zr              91.224        1741              1
41    Nb              92.906        1559              1
42    Mo              95.96         1590              2
44    Ru              101.07        1551              2
45    Rh              102.906       1392              2
46    Pd              106.42        1324              2
47    Ag              107.868       996               2
48    Cd              112.411       652               2
49    In              114.818       536               2
50    Sn              118.710       704               2
51    Sb              121.760       979               2
52    Te              127.60        709               2
53    I               126.904       535               2
54    Xe              131.293       68                3
55    Cs              132.905       799               1
56    Ba              137.327       1455              1
57    La              138.905       1578              1
58    Ce              140.116       1478              1
59    Pr              140.908       1582              1
60    Nd              144.242       1602              1
62    Sm              150.36        1590              1
63    Eu              151.964       1356              1
64    Gd              157.25        1659              1
65    Tb              158.925       1659              1
66    Dy              162.500       1659              1
67    Ho              164.930       1659              1
68    Er              167.259       1659              1
69    Tm              168.934       1659              1
70    Yb              173.054       1487              1
71    Lu              174.967       1659              1
72    Hf              178.49        1684              1
73    Ta              180.948       1573              1
74    W               183.84        1789              2
75    Re              186.207       1821              2
76    Os              190.23        1812              2
77    Ir              192.217       1603              2 
78    Pt              195.084       1408              2
79    Au              196.967       1060              2
80    Hg              200.592       252               2
81    Tl              204.383       532               2
82    Pb              207.2         727               2
83    Bi              208.980       746               2
90    Th              232.038       1659              1
92    U               238.029       1610              1
