param	median	errup	errdn
Na2O	0.57477228484972	0.08236073740710001	0.06931435499192
CaO	3.80657326066763	0.5702681837817499	0.45944779745507996
MgO	45.431810842066874	5.9797190820456505	5.29193687385269
Al2O3	5.40441693569451	0.8440043121508	0.5985424445759401
SiO2	43.179519514636624	5.64132617257338	6.7459727790955295
FeO	0.94278800496836	0.9824956900301799	0.61578353940801
NiO	0.10163086556837	0.06935183595962	0.05422076243949
SO3	0.0	0.0	0.0
CO2	0.0014885619416197347	0.0	0.0
C	0.48652440705617	0.12909256883126	0.10363839569612
Metals	0.06955483977099	0.07237912615452	0.05095287403714
ExtraO	0.0009204827791107996	0.0	0.0
